,Chequings_Amount,Duration_Months,Credit_History,Purpose_Of_Loan,Loan_Amount,Savings_Amount,Employment_Status,Installment_Rate,Personal_Status_Sex,Other_Debtor_Guarantor,Resident_Since,Property_Type,Age,Other_Installments,Housing_Payment_Type,Number_Of_Loans,Job,Number_Of_Dependents,Own_Telephone,Foreign_Worker,Credit_Risk
679,no checking account,18,existing credits paid back duly till now,television,1453,less than 100,less than 1 year,3,female-divorced_married_or_single,none,1,real estate,26,none,own,1,skilled employee,1,none,yes,1
680,no checking account,6,existing credits paid back duly till now,education,1538,less than 100,less than 1 year,1,female-divorced_married_or_single,none,2,unknown,56,none,own,1,skilled employee,1,none,yes,1
681,no checking account,12,existing credits paid back duly till now,television,2279,unknown or no savings account,1-4 years,4,male-single,none,4,unknown,37,none,for free,1,skilled employee,1,"yes, registered under the customer name",yes,1
682,no checking account,15,delay in paying off in the past,television,1478,less than 100,1-4 years,4,male-married_widowed,none,3,real estate,33,bank,own,2,skilled employee,1,none,yes,1
683,no checking account,24,critical account or other credits existing not at this bank,television,5103,less than 100,less than 1 year,3,male-married_widowed,none,3,unknown,47,none,for free,3,skilled employee,1,"yes, registered under the customer name",yes,1
684,0-200,36,delay in paying off in the past,business,9857,100-500,4-7 years,1,male-single,none,3,life insurance,31,none,own,2,unskilled,2,"yes, registered under the customer name",yes,1
685,no checking account,60,existing credits paid back duly till now,new car,6527,unknown or no savings account,1-4 years,4,male-single,none,4,unknown,34,none,for free,1,skilled employee,2,"yes, registered under the customer name",yes,1
686,greater than $200,10,critical account or other credits existing not at this bank,television,1347,unknown or no savings account,4-7 years,4,male-single,none,2,life insurance,27,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
687,0-200,36,delay in paying off in the past,new car,2862,100-500,greater than 7 years,4,male-single,none,3,unknown,30,none,for free,1,skilled employee,1,none,yes,1
688,no checking account,9,existing credits paid back duly till now,television,2753,100-500,greater than 7 years,3,male-single,co-applicant,4,car or other,35,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
689,less than 0,12,existing credits paid back duly till now,new car,3651,greater than 1000,1-4 years,1,male-single,none,3,life insurance,31,none,own,1,skilled employee,2,none,yes,1
690,less than 0,15,critical account or other credits existing not at this bank,furniture,975,less than 100,1-4 years,2,male-divorced,none,3,life insurance,25,none,own,2,skilled employee,1,none,yes,1
691,0-200,15,existing credits paid back duly till now,repairs,2631,100-500,1-4 years,3,female-divorced_married_or_single,none,2,real estate,25,none,own,1,unskilled,1,none,yes,1
692,0-200,24,existing credits paid back duly till now,television,2896,100-500,less than 1 year,2,male-single,none,1,car or other,29,none,own,1,skilled employee,1,none,yes,1
693,less than 0,6,critical account or other credits existing not at this bank,new car,4716,unknown or no savings account,less than 1 year,1,male-single,none,3,real estate,44,none,own,2,unskilled,2,none,yes,1
694,no checking account,24,existing credits paid back duly till now,television,2284,less than 100,4-7 years,4,male-single,none,2,car or other,28,none,own,1,skilled employee,1,"yes, registered under the customer name",yes,1
695,no checking account,6,existing credits paid back duly till now,used car,1236,500-1000,1-4 years,2,male-single,none,4,life insurance,50,none,rent,1,skilled employee,1,none,yes,1
696,0-200,12,existing credits paid back duly till now,television,1103,less than 100,4-7 years,4,male-single,guarantor,3,real estate,29,none,own,2,skilled employee,1,none,no,1
697,no checking account,12,critical account or other credits existing not at this bank,new car,926,less than 100,unemployed,1,female-divorced_married_or_single,none,2,life insurance,38,none,own,1,unemployed,1,none,yes,1
698,no checking account,18,critical account or other credits existing not at this bank,television,1800,less than 100,1-4 years,4,male-single,none,2,car or other,24,none,own,2,skilled employee,1,none,yes,1
699,greater than $200,15,existing credits paid back duly till now,education,1905,less than 100,greater than 7 years,4,male-single,none,4,car or other,40,none,rent,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
700,no checking account,12,existing credits paid back duly till now,furniture,1123,500-1000,1-4 years,4,female-divorced_married_or_single,none,4,car or other,29,none,rent,1,unskilled,1,none,yes,2
701,less than 0,48,critical account or other credits existing not at this bank,used car,6331,less than 100,greater than 7 years,4,male-single,none,4,unknown,46,none,for free,2,skilled employee,1,"yes, registered under the customer name",yes,2
702,greater than $200,24,existing credits paid back duly till now,television,1377,100-500,greater than 7 years,4,female-divorced_married_or_single,none,2,unknown,47,none,for free,1,skilled employee,1,"yes, registered under the customer name",yes,1
703,0-200,30,delay in paying off in the past,business,2503,100-500,greater than 7 years,4,male-single,none,2,life insurance,41,stores,own,2,skilled employee,1,none,yes,1
704,0-200,27,existing credits paid back duly till now,business,2528,less than 100,less than 1 year,4,female-divorced_married_or_single,none,1,life insurance,32,none,own,1,skilled employee,2,"yes, registered under the customer name",yes,1
705,no checking account,15,existing credits paid back duly till now,new car,5324,500-1000,greater than 7 years,1,female-divorced_married_or_single,none,4,unknown,35,none,for free,1,skilled employee,1,none,yes,1
706,0-200,48,existing credits paid back duly till now,new car,6560,100-500,4-7 years,3,male-single,none,2,life insurance,24,none,own,1,skilled employee,1,none,yes,2
707,0-200,12,no credits taken or all credits paid back duly,furniture,2969,less than 100,less than 1 year,4,female-divorced_married_or_single,none,3,life insurance,25,none,rent,2,skilled employee,1,none,yes,2
708,0-200,9,existing credits paid back duly till now,television,1206,less than 100,greater than 7 years,4,female-divorced_married_or_single,none,4,real estate,25,none,own,1,skilled employee,1,none,yes,1
709,0-200,9,existing credits paid back duly till now,television,2118,less than 100,1-4 years,2,male-single,none,2,real estate,37,none,own,1,unskilled,2,none,yes,1
710,no checking account,18,critical account or other credits existing not at this bank,television,629,500-1000,greater than 7 years,4,male-single,none,3,life insurance,32,bank,own,2,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
711,less than 0,6,all credits at this bank paid back duly,education,1198,less than 100,greater than 7 years,4,female-divorced_married_or_single,none,4,unknown,35,none,for free,1,skilled employee,1,none,yes,2
712,no checking account,21,existing credits paid back duly till now,used car,2476,unknown or no savings account,greater than 7 years,4,male-single,none,4,real estate,46,none,own,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
713,less than 0,9,critical account or other credits existing not at this bank,television,1138,less than 100,1-4 years,4,male-single,none,4,real estate,25,none,own,2,unskilled,1,none,yes,1
714,0-200,60,existing credits paid back duly till now,new car,14027,less than 100,4-7 years,4,male-single,none,2,unknown,27,none,own,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
715,no checking account,30,critical account or other credits existing not at this bank,used car,7596,unknown or no savings account,greater than 7 years,1,male-single,none,4,car or other,63,none,own,2,skilled employee,1,none,yes,1
716,no checking account,30,critical account or other credits existing not at this bank,television,3077,unknown or no savings account,greater than 7 years,3,male-single,none,2,car or other,40,none,own,2,skilled employee,2,"yes, registered under the customer name",yes,1
717,no checking account,18,existing credits paid back duly till now,television,1505,less than 100,1-4 years,4,male-single,none,2,unknown,32,none,for free,1,management or self-employed or officer,1,"yes, registered under the customer name",yes,1
718,greater than $200,24,critical account or other credits existing not at this bank,television,3148,unknown or no savings account,1-4 years,3,male-single,none,2,car or other,31,none,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
719,0-200,20,no credits taken or all credits paid back duly,used car,6148,100-500,greater than 7 years,3,male-married_widowed,none,4,car or other,31,bank,own,2,skilled employee,1,"yes, registered under the customer name",yes,1
720,greater than $200,9,no credits taken or all credits paid back duly,television,1337,less than 100,less than 1 year,4,male-single,none,2,car or other,34,none,own,2,management or self-employed or officer,1,"yes, registered under the customer name",yes,2
721,0-200,6,all credits at this bank paid back duly,education,433,greater than 1000,less than 1 year,4,female-divorced_married_or_single,none,2,life insurance,24,bank,rent,1,skilled employee,2,none,yes,2
722,less than 0,12,existing credits paid back duly till now,new car,1228,less than 100,1-4 years,4,female-divorced_married_or_single,none,2,real estate,24,none,own,1,unskilled,1,none,yes,2
723,0-200,9,existing credits paid back duly till now,television,790,500-1000,1-4 years,4,female-divorced_married_or_single,none,3,real estate,66,none,own,1,unskilled,1,none,yes,1
724,no checking account,27,existing credits paid back duly till now,new car,2570,less than 100,1-4 years,3,female-divorced_married_or_single,none,3,real estate,21,none,rent,1,skilled employee,1,none,yes,2
725,no checking account,6,critical account or other credits existing not at this bank,new car,250,greater than 1000,1-4 years,2,female-divorced_married_or_single,none,2,real estate,41,bank,own,2,unskilled,1,none,yes,1
726,no checking account,15,critical account or other credits existing not at this bank,television,1316,500-1000,1-4 years,2,male-married_widowed,none,2,life insurance,47,none,own,2,unskilled,1,none,yes,1
727,less than 0,18,existing credits paid back duly till now,television,1882,less than 100,1-4 years,4,female-divorced_married_or_single,none,4,car or other,25,bank,rent,2,skilled employee,1,none,yes,2
